R,G,B,EX,LI,3BF,3RF,2GF
10.21,62.34,30.94,1000,G100,0.0143,0.05,0.0123
7.42,47.38,23.46,1000,G100,0.0286,0.1,0.0246
5.25,35.32,17.19,1000,G100,0.0429,0.15,0.0369
3.97,26.71,13.1,1000,G100,0.0572,0.2,0.0492
3.04,20.31,9.51,1000,G100,0.0715,0.25,0.0615
1.97,15.07,7.02,1000,G100,0.0858,0.3,0.0738
1.21,9.97,4.58,1000,G100,0.1001,0.35,0.0861
1.02,8.01,3.66,1000,G100,0.1144,0.4,0.0984
0.55,6.33,2.76,1000,G100,0.1287,0.45,0.1107
0.3,4.52,1.66,1000,G100,0.143,0.5,0.123
25.51,154.21,78.82,2500,G100,0.0143,0.05,0.0123
18.94,116.76,58.46,2500,G100,0.0286,0.1,0.0246
14.59,87.63,43.85,2500,G100,0.0429,0.15,0.0369
10.95,66.95,32.6,2500,G100,0.0572,0.2,0.0492
7.94,51.6,24.65,2500,G100,0.0715,0.25,0.0615
6.06,38.32,18.01,2500,G100,0.0858,0.3,0.0738
3.98,26,11.99,2500,G100,0.1001,0.35,0.0861
3.16,20.63,9.76,2500,G100,0.1144,0.4,0.0984
2.23,15.87,7.3,2500,G100,0.1287,0.45,0.1107
1.47,11.48,5.3,2500,G100,0.143,0.5,0.123
51.91,255,154.81,5000,G100,0.0143,0.05,0.0123
38.91,225.19,115.97,5000,G100,0.0286,0.1,0.0246
29.71,171.29,86.99,5000,G100,0.0429,0.15,0.0369
22.24,131.39,64.46,5000,G100,0.0572,0.2,0.0492
16.8,102.45,50.16,5000,G100,0.0715,0.25,0.0615
13.1,76.09,36.53,5000,G100,0.0858,0.3,0.0738
8.47,51.68,24.75,5000,G100,0.1001,0.35,0.0861
6.73,41.47,19.51,5000,G100,0.1144,0.4,0.0984
5.38,32.49,14.84,5000,G100,0.1287,0.45,0.1107
3.87,24.09,10.69,5000,G100,0.143,0.5,0.123
107.26,255,255,10000,G100,0.0143,0.05,0.0123
80.55,255,231.36,10000,G100,0.0286,0.1,0.0246
59.8,255,171.18,10000,G100,0.0429,0.15,0.0369
44.71,250.98,129.8,10000,G100,0.0572,0.2,0.0492
34.64,198.67,99.98,10000,G100,0.0715,0.25,0.0615
25.86,149.33,73.51,10000,G100,0.0858,0.3,0.0738
17.55,103.68,49.51,10000,G100,0.1001,0.35,0.0861
14.43,81.97,39.28,10000,G100,0.1144,0.4,0.0984
10.87,64.23,29.84,10000,G100,0.1287,0.45,0.1107
7.87,47.69,21.95,10000,G100,0.143,0.5,0.123
215.6,255,255,20000,G100,0.0143,0.05,0.0123
161.74,255,255,20000,G100,0.0286,0.1,0.0246
122.65,255,255,20000,G100,0.0429,0.15,0.0369
92.48,255,253.67,20000,G100,0.0572,0.2,0.0492
70.16,255,198.15,20000,G100,0.0715,0.25,0.0615
52.8,255,145.72,20000,G100,0.0858,0.3,0.0738
35.77,201.28,99.17,20000,G100,0.1001,0.35,0.0861
28.12,161.1,78.21,20000,G100,0.1144,0.4,0.0984
21.88,126.98,59.74,20000,G100,0.1287,0.45,0.1107
16.13,95.23,44.31,20000,G100,0.143,0.5,0.123
255,255,255,40000,G100,0.0143,0.05,0.0123
255,255,255,40000,G100,0.0286,0.1,0.0246
243.53,255,255,40000,G100,0.0429,0.15,0.0369
185.63,255,255,40000,G100,0.0572,0.2,0.0492
142.33,255,255,40000,G100,0.0715,0.25,0.0615
106.49,255,255,40000,G100,0.0858,0.3,0.0738
73.53,255,197.22,40000,G100,0.1001,0.35,0.0861
57.02,255,153.98,40000,G100,0.1144,0.4,0.0984
44.81,243.94,119.84,40000,G100,0.1287,0.45,0.1107
33.98,185.22,87.93,40000,G100,0.143,0.5,0.123
255,255,255,80000,G100,0.0143,0.05,0.0123
255,255,255,80000,G100,0.0286,0.1,0.0246
255,255,255,80000,G100,0.0429,0.15,0.0369
255,255,255,80000,G100,0.0572,0.2,0.0492
255,255,255,80000,G100,0.0715,0.25,0.0615
215.03,255,255,80000,G100,0.0858,0.3,0.0738
147.99,255,255,80000,G100,0.1001,0.35,0.0861
116.81,255,255,80000,G100,0.1144,0.4,0.0984
91.65,255,237.49,80000,G100,0.1287,0.45,0.1107
68.21,255,176.18,80000,G100,0.143,0.5,0.123
255,255,255,120000,G100,0.0143,0.05,0.0123
255,255,255,120000,G100,0.0286,0.1,0.0246
255,255,255,120000,G100,0.0429,0.15,0.0369
255,255,255,120000,G100,0.0572,0.2,0.0492
255,255,255,120000,G100,0.0715,0.25,0.0615
255,255,255,120000,G100,0.0858,0.3,0.0738
222.32,255,255,120000,G100,0.1001,0.35,0.0861
176.13,255,255,120000,G100,0.1144,0.4,0.0984
138.72,255,255,120000,G100,0.1287,0.45,0.1107
103.49,255,255,120000,G100,0.143,0.5,0.123
255,255,255,200000,G100,0.0143,0.05,0.0123
255,255,255,200000,G100,0.0286,0.1,0.0246
255,255,255,200000,G100,0.0429,0.15,0.0369
255,255,255,200000,G100,0.0572,0.2,0.0492
255,255,255,200000,G100,0.0715,0.25,0.0615
255,255,255,200000,G100,0.0858,0.3,0.0738
255,255,255,200000,G100,0.1001,0.35,0.0861
255,255,255,200000,G100,0.1144,0.4,0.0984
230.02,255,255,200000,G100,0.1287,0.45,0.1107
172.47,255,255,200000,G100,0.143,0.5,0.123
